"ID"	"GLOSS"	"SEMANTICFIELD"	"DEFINITION"	"ONTOLOGICAL_CATEGORY"
4034	"SCURVY"	"The body"	"Disease resulting from a lack of vitamin C (ascorbic acid)"	
4035	"MIRAGE"	"The physical world"	"Naturally-occurring optical phenomenon in which light rays bend via refraction to produce a displaced image of distant objects or the sky"	
4036	"TROUSSEAU BOX"	"Basic actions and technology"	"Man made object that contains clothes and linen, etc., that a bride collects or that is given to her for her wedding and married life, especially a traditional or formal set of these"	
4037	"GROCER"	"Social and political relations"	"Person who retails groceries (foodstuffs and household items) from a grocery"	
4038	"SLUMBER"	"The body"	"Very light state of sleep, almost awake"	
4039	"GYRFALCON"	"Animals"	"Largest of the falcon species, is a bird of prey. The abbreviation gyr is also used.[4] It breeds on Arctic coasts and tundra, and the islands of northern North America and the Eurosiberian region"	
4040	"FURRIER"	"Social and political relations"	"Person who sells, makes, repairs, alters, cleans, or otherwise deals in clothing made of fur"	
4041	"ADVICE"	"Speech and language"	"Advice (opinion), an opinion or recommendation offered as a guide to action, conduct"	
4042	"FORMES FOMENTARIUS"	"Agriculture and Vegetation"	"Commonly known as the tinder fungus, false tinder fungus, hoof fungus, tinder conk, tinder polypore or ice man fungus is a species of fungal plant pathogen found in Europe, Asia, Africa and North America"	
4043	"ARABLE LAND"	"Agriculture and Vegetation"	"Any land capable of being ploughed and used to grow crops"	
4044	"BUNIAS ORIENTALIS"	"Agriculture and Vegetation"	"Turkish wartycabbage, warty-cabbage, hill mustard, or Turkish rocket, is a edible wild plant species in the genus Bunias. It is classified as an invasive neophyte in most of Middle Europe and parts of North America"	
4045	"VEGETATE (HUMANS)"	"Basic actions and technology"	"To live or spend a period of time in a dull, inactive, unchallenging way"	
4046	"HALL"	"The house"	"Relatively large space enclosed by a roof and walls"	
4047	"SCUTCH"	"Agriculture and Vegetation"	"Wooden implement shaped like a large knife used to separate the valuable fibres of flax or hemp by beating them and scraping from it the woody or coarse portions"	
4048	"HORSERADISH"	"Agriculture and Vegetation"	"Armoracia rusticana, syn. Cochlearia armoracia is a perennial plant of the family Brassicaceae"	
4049	"PEAT"	"Agriculture and Vegetation"	"Also known as turf, is an accumulation of partially decayed vegetation or organic matter"	
4050	"COTTAGE CHEESE"	"Food and drink"	"Curdled milk product with a mild flavor and a creamy, non-homogeneous, soupy texture. It is also known as curds and whey"	
4051	"TURUL"	"Religion and belief"	"Mythological bird of prey, mostly depicted as a Falcon, in Hungarian tradition and Turkic tradition, and a national symbol of Hungarians"	
4052	"BUSTARD"	"Animals"	"Large, terrestrial birds living mainly in dry grassland areas and on the steppes of the Old World"	
4053	"ROLL UP"	"Basic actions and technology"	"Make something into a particular shape, especially cylindrical or fold-like"	
4054	"HEIFER"	"Animals"	"Young cow before she has had her first calf"	
4055	"GROUND SQUIRREL"	"Animals"	"Members of the squirrel family of rodents (Sciuridae), which generally live on or in the ground, rather than trees"	
4056	"FISHWEIR"	"Warfare and hunting"	"Obstruction placed in tidal waters, or wholly or partially across a river, to trap fish or hinder their passage"	
4057	"ICE HOLE"	"Warfare and hunting"	"A hole cut in ice for fishing"	
4058	"GABLE"	"The house"	"Generally triangular portion of a wall between the edges of intersecting roof pitches"	
4059	"CHAMOIS"	"Animals"	"Rupicapra rupicapra is a species of goat-antelope native to mountains in Europe, from west to east, including the Alps, the Dinarides, the Tatra and the Carpathian Mountains, the Balkan Mountains, the Rila–Rhodope massif, Pindus, the northeastern mountains of Turkey, and the Caucasus"	
